tail_number,manufacturer,model
"N202WQ","DeHavilland","Q400"
"N686AA","Boeing","B757-223PASSENGER"
"N552AA","McDonnell-Douglas","SUPER80PASSENGER"
"N394AN","Boeing","B767-323ERPASSENGER"
"N926FJ","Bombardier","RJ-900"
"N261SY","Embraer","ERJ175"
"N825NW","Airbus","A330-302-PSGR"
"N109HQ","Embraer","ERJ-175-200LR"
"N727SK","Canadair","RJ-700"
"N603NW","McDonnell-Douglas","DC-9-30"
"N959AN","Boeing","B737-823PASSENGER"
"N435SW","Canadair","RJ-200"
"N862FE","Cessna","CE-208B"
"N3075A","Airbus","A300-600"
"N768AN","Boeing","B777-200PASSENGER"
"N151AN","Airbus","A321-231"
"N644GT","Boeing","B767-300ER"
"N497DN","McDonnell-Douglas","MD-82-PSGR"
"OO-THB","Boeing","747-400F"
"N354PT","Boeing","B737-823"
"N902AA","Airbus","A321-231"
"N210JQ","Embraer","ERJ-175-200LR"
"N792FE","Cessna","CE-208B"
"N685AA","Boeing","B757-223PASSENGER"
"N551AS","Boeing","B737-890ALLPAX"
"N9305N","McDonnell-Douglas","MD-80"
"N39415","Boeing","B737-900ERPAX"
"N830AA","Dassault","FALCON"
"N26141","Embraer","ERJ-145XR"
"N733SA","Boeing","B-737-7H4"
"N107UW","Airbus","A320-1/2"
"N608AU","Boeing","B757-2"
"N442UA","Airbus","AirbusA320-232PAX"
"N311US","Airbus","A320-PSGR"
"N8627B","Boeing","B-737-8H4"
"N1608","Boeing","B767-3"
"N767NC","McDonnell-Douglas","DC9-51-PSGR"
"N643SW","Boeing","B-737-3H4"
"n8598b","Bombardier","CRJ200"
"N496CA","Canadair","RJ-200"
"N905DL","McDonnell-Douglas","MD-88-PSGR"
"N35407","Boeing","B737-900PAX"
"N799SW","Boeing","B-737-7Q8"
"N209UA","Boeing","B777-222BPAX"
"N69348","Boeing","B737-3"
"N560","Boeing","737-700PASSENGERONLY"
"N401UP","Boeing","B757-2"
"N269FE","Boeing","B727-2"
"N116SY","Embraer","ERJ175"
"N963AT","Boeing","Boeing717-200"
"N441ZW","Bombardier","CL65"
"N8653A","Boeing","B-737-8H4"
"N311DN","Airbus","A321-211-PSGR"
"N7715E","Boeing","B-737-7BD"
"N159GJ","Canadair","RJ-700"
"N650","Boeing","B737-3"
"N504AU","Boeing","B737-3"
"N360PH","DeHavilland","DHC8-200"
"N216WN","Boeing","737-700PASSENGERONLY"
"N933DL","McDonnell-Douglas","MD-88-PSGR"
"N8327A","Boeing","B-737-8H4"
"N741","Boeing","B737-7/L"
"N613FE","McDonnell-Douglas","MD11"
"N448SW","Canadair","RJ-200"
"N317AA","Boeing","B767-2"
"N16617","Boeing","B737-500PAX"
"n904xj","Bombardier","CRJ900"
"N908EV","Canadair","RJ-200"
"N803UA","Airbus","AirbusA319-131PAX"
"N70079","Airbus","A300-600"
"N567FE","McDonnell-Douglas","DC-10-10"
"N406US","Boeing","B737-401"
"N27506","Embraer","ERJ-135"
"N12313","Boeing","B737-3"
"N968AN","Boeing","B737-823PASSENGER"
"N8692F","Boeing","B-737-8H4"
"N7738WN","Boeing","737-700PASSENGERONLY"
"N655AW","Airbus","A320-232"
"N510CA","Canadair","CRJ-2/4"
"N913EV","Embraer","RJ-200"
"N366FE","McDonnell-Douglas","DC-10-10"
"N223WN","Boeing","B737-7/L"
"N936NN","Boeing","B737-823PASSENGER"
"N837VA","Airbus","A320-214"
"N746AX","Boeing","B767-2"
"N618DL","Boeing","B757-2"
"N974DL","McDonnell-Douglas","MD-88-PSGR"
"N454UA","Airbus","AirbusA320-232PAX"
"N875AS","Embraer","RJ-200"
"N322NG","Bombardier","Q400"
"N776FD","Boeing","757-200"
"N17159","Embraer","ERJ-145XR"
"N661JA","Embraer","ERJ-145"
"N518AT","Boeing","B757-2"
"N912UY","Airbus","A321-231"
"N807FR","Airbus","A318-1"
"N7055A","Airbus","A300-6"
"N574US","Boeing","B737-301"
"N941AN","Boeing","B737-823PASSENGER"
"N411UA","Airbus","AirbusA320-232PAX"
"N844MH","Boeing","B767-400"
"N280EA","CFMInternational","B-737-800-PSGR"
"N751FD","Airbus","A300-600"
"N129HQ","Embraer","ERJ-175-200LR"
"N624AE","Embraer","ERJ-145LR"
"N463SW","Canadair","RJ-200"
"N973RP","Embraer","Embraer-145"
"N329NB","Airbus","A319-PSGR"
"N874RW","Embraer","ERJ-175-100LR"
"N176SY","Embraer","ERJ175"
"N775UA","Boeing","B777-222PAX"
"N661","Boeing","B737-3"
"N517JB","Airbus","A320-232-PSGR"
"N916UW","Boeing","B757-2"
"N37273","Boeing","B737-800PAX"
"N812AE","Embraer","ERJ-140"
"N231LN","SAAB","Saab340"
"N709TW","Boeing","B757-2"
"N582SW","Embraer","EMB120-ER"
"N418AW","Canadair","RJ-200"
"N940N","McDonnell-Douglas","DC9-30-PSGR"
"N288DH","DeHavilland","DASH8-1"
"N8444F","Canadair","RJ-200"
"N137WA","McDonnell-Douglas","DC10-30P"
"N7519A","McDonnell-Douglas","SUPER80PASSENGER"
"N623NW","McDonnell-Douglas","DC9-30-PSGR"
"N979SW","Canadair","RJ-200"
"N462FE","Boeing","B727-2"
"N883DN","Boeing","737-900ER-PSGR"
"N328VA","Dornier","DO-328-PSGR"
"N7816","Boeing","737-700PASSENGERONLY"
"N17644","Boeing","B737-500PAX"
"N668AW","Airbus","A320-232"
"N524FE","McDonnell-Douglas","MD11"
"N374WN","Boeing","737-300PASSENGERONLY"
"N916FX","ATR","ATR42-300"
"N23ACC","Curtiss","COMMANDO"
"N811HK","Embraer","EMB-145"
"N709DN","Boeing","777-232LR-PSGR"
"N581UW","Airbus","A321-231"
"N945FR","Airbus","A319-1"
"N417UA","Airbus","AirbusA320-232PAX"
"N8516C","Canadair","RJ-200"
"N287SC","Boeing","B727-Cargo"
"N7546A","McDonnell-Douglas","SUPER80PASSENGER"
"N13720","Boeing","B737-700Pax"
"N628CZ","Embraer","EMB175"
"N471CA","Canadair","RJ-200"
"N334US","Boeing","B737-3"
"N185DN","Boeing","B767-3"
"PHHZL","Boeing","B737-800"
"N902NK","Airbus","A-320-PSGR"
"N793SK","Canadair","RJ-700"
"N687","Boeing","B737-3"
"N552UA","Boeing","B757-222PAX"
"N930LR","Bombardier","RJ-900"
"N395AJ","Boeing","B727-2"
"N8310C","Boeing","B-737-8H4"
"N26232","Boeing","B737-800PAX"
"N735CA","Canadair","RJ100/ER"
"N11060","Airbus","A300-600"
"N609AE","Embraer","ERJ-145"
"N443WN","Boeing","B737-7/L"
"N959FE","Cessna","CE-208B"
"N313","Boeing","B737-3"
"N8631","Boeing","737-800PASSENGERONLY"
"N16170","Embraer","ERJ-145XR"
"N768NC","McDonnell-Douglas","DC9-51-PSGR"
"N644WN","Boeing","737-300PASSENGERONLY"
"n8709a","Bombardier","CRJ200"
"N498CA","Canadair","RJ-200"
"N905TW","McDonnell-Douglas","MD-80"
"N355AA","Boeing","B767-323ERPASSENGER"
"N800AY","Canadair","RJ-200"
"N21130","Embraer","ERJ-145XR"
"N694SW","Boeing","B-737-3T5"
"N561UA","Boeing","B757-222PAX"
"N402VA","Dornier","DO-228-PSGR"
"N930AX","McDonnell-Douglas","DC-9-33FCARGO"
"N270UP","McDonnell-Douglas","MD-11F"
"N830DA","Boeing","B737-8"
"N118US","Airbus","A320-214"
"N73444","McDonnell-Douglas","MD-80"
"N608NW","McDonnell-Douglas","DC-9-30"
"N964AT","Boeing","Boeing717-200"
"N443AA","McDonnell-Douglas","MD-80"
"N865GA","McDonnell-Douglas","MD-83"
"N312DN","Airbus","A321-211-PSGR"
"N771SK","Canadair","RJ-700"
"N1610D","Boeing","B767-3"
"N650WN","Boeing","737-300PASSENGERONLY"
"N505DN","Airbus","A350-900-PSGR"
"n8665a","Bombardier","CRJ200"
"N361SW","Boeing","B-737-3H4"
"N905J","Bombardier","CRJ-900-PSGR"
"N218FE","Boeing","B727-2"
"N7GU","GulfStream","G450"
"N693WN","Boeing","737-300PASSENGERONLY"
"N560UA","Boeing","B757-222PAX"
"N934","Boeing","DC-9-34"
"N402AW","Canadair","RJ-200"
"N832MH","Boeing","B767-400"
"N27016","Boeing","B777-2"
"N742","Boeing","B737-7/L"
"N117SY","Embraer","ERJ175"
"N614FE","McDonnell-Douglas","MD11"
"N449XJ","Saab","Saab340B"
"N317UP","Boeing","B767-3"
"N166UP","Airbus","A300F4-622R"
"N650GT","Boeing","B767-200"
"n921xj","Bombardier","CRJ900"
"N504UA","Boeing","B757-222PAX"
"N909AW","Boeing","B757-2G7"
"N361AA","Boeing","B767-323ERPASSENGER"
"N804HK","Embraer","EMB-145"
"N217NN","Embraer","EMB175"
"N701GC","McDonnell-Douglas","MD-11"
"N568SW","Embraer","EMB120-ER"
"N407UP","Boeing","B757-2"
"N276AT","Boeing","Boeing737-700/LR"
"N124HQ","Embraer","ERJ-175-200LR"
"N969AX","McDonnell-Douglas","DC-9-40"
"N869NN","Boeing","B737-823PASSENGER"
"N7740A","Boeing","B-737-7BD"
"N16649","Boeing","B737-500PAX"
"N656DL","Boeing","B757-2"
"N511PE","Boeing","B727-2"
"N367UA","Boeing","B737-3"
"N225AX","Boeing","BoeingB767-224ERPAX"
"N937FD","Boeing","B-757-200"
"N839DN","Boeing","737-932ER-PSGR"
"N747CE","Douglas","C-118ACARGO"
"N619DL","Boeing","B757-2"
"N455YV","DeHavilland","DHC8-200"
"N323TZ","Boeing","B737-8"
"N17233","Boeing","B737-800PAX"
"N913NN","Boeing","B737-823PASSENGER"
"N808DN","Boeing","737-932ER-PSGR"
"N705TW","Boeing","B757-2"
"N576UA","Boeing","B757-222PAX"
"N412UP","Boeing","B757-2"
"N281WN","Boeing","B-737-7H4"
"N13132","Embraer","ERJ-145XR"
"N974TW","McDonnell-Douglas","SUPER80PASSENGER"
"N876AS","Canadair","RJ-200"
"N777AN","Boeing","B777-200PASSENGER"
"N662AA","Boeing","B757-223PASSENGER"
"N518US","Boeing","B757-2"
"N917ME","Boeing","B717-2"
"N372SK","Embraer","Embraer-140"
"N812SW","Bombardier","CRJ900-2D24"
"N2332U","Boeing","B777-300ERPAX"
"N710TB","Embraer","ERJ-135"
"N941FD","Boeing","B-757-200"
"N845AL","SAAB","SF-340A"
"N751UW","Airbus","A319-112"
"N624FE","McDonnell-Douglas","MD11"
"N980TW","McDonnell-Douglas","SUPER80PASSENGER"
"N464AT","Boeing","B737-1/2"
"N885FE","Cessna","CE-208B"
"N330","Boeing","B737-3"
"N781VA","Boeing","B-737-8"
"N177DN","Boeing","B767-3"
"N669NK","Airbus","A-321-PSGR"
"N525NK","Airbus","A319PAX"
"N375HA","Airbus","A330-200"
"N917DE","McDonnell-Douglas","MD-88-PSGR"
"N241NN","Embraer","ERJ-175"
"N812FE","Cessna","CE-208B"
"N710CK","Boeing","B747-2/3"
"N583FE","McDonnell-Douglas","MD11"
"N946DL","McDonnell-Douglas","MD-88-PSGR"
"N418UA","Airbus","AirbusA320-232PAX"
"N8520Q","Boeing","B-737-8H4"
"N289","Boeing","B737-7/L"
"N754UW","Airbus","A319-112"
"N138SY","Embraer","ERJ175"
"N629BR","Canadair","CRJ200-2B19"
"N47332","Boeing","B737-3"
"N980AN","Boeing","B737-823PASSENGER"
"N336 UP","Boeing","B-767-3"
"N884DN","Boeing","737-900ER-PSGR"
"N187DN","Boeing","B767-3"
"N7819A","Boeing","B-737-7Q8"
"N668US","Boeing","B747-4"
"N524UA","Boeing","B757-222PAX"
"N920NN","Boeing","B737-823PASSENGER"
"N3754A","Boeing","B737-8"
"N817HK","Embraer","EMB-145"
"N240NN","Embraer","ERJ-175"
"N716FD","Airbus","A300-600"
"N590SW","Canadair","CRJ-2/4"
"N425","Boeing","737-700PASSENGERONLY"
"N945UP","Boeing","B727-100"
"N29717","Boeing","B737-700Pax"
"N851DN","Boeing","737-932ER-PSGR"
"N14204","Embraer","ERJ-145XR"
"N754CX","Boeing","B-757-200"
"N628VA","Airbus","A320-214"
"N987JT","Airbus","A321-231"
"N47202","Canadair","RJ-200"
"N89308","Embraer","EMB-175-PSGR"
"N335NB","Airbus","A319-PSGR"
"N784NC","McDonnell-Douglas","DC9-51-PSGR"
"N18658","Boeing","B737-5"
"N674AW","Airbus","A320-1/2"
"N531UA","Boeing","B757-Cargo"
"N380WN","Boeing","737-300PASSENGERONLY"
"N248NN","Embraer","ERJ-175"
"429NV","McDonnell-Douglas","MD-83"
"N59081","Airbus","A300-600"
"N950WN","Boeing","B-737-7H4"
"N424FE","Airbus","A310-2CF"
"N8554X","Boeing","B-737-8H4"
"N296AA","McDonnell-Douglas","MD-80"
"N76054","Boeing","B767-400PAX"
"N14188","Embraer","ERJ-145XR"
"N634AA*","Boeing","B757-200PASSENGER"
"N481UA","Airbus","AirbusA320-232PAX"
"N342AX","Boeing","BoeingB767-300ERPAX"
"N19638","Boeing","B737-500PAX"
"N923UW","Boeing","B757-2"
"N821SK","Bombardier","RJ-900"
"N722EV","Canadair","RJ-700"
"420NV","McDonnell-Douglas","MD-83"
"N598UA","Boeing","B757-222PAX"
"N430XA","Boeing","737-400-PSGR"
"N303NV","Airbus","A319"
"N146PQ","Bombardier","RJ-900"
"N994NN","Boeing","B737-823"
"N898UA","Airbus","AirbusA319-131"
"N788","Boeing","B737-7/L"
"N763AS","Boeing","B737-4Q8COMBI"
"N14570","Embraer","ERJ-145LR"
"N638DL","Boeing","B757-2"
"N488HA","Boeing","b717-200"
"N991NN","Boeing","B737-823"
"N347UP","Boeing","767-34AF"
"N8969A","Canadair","RJ-200"
"N202UW","Boeing","B757-2B7"
"N786FD","Boeing","B-757-200"
"N678AE","Embraer","ERJ-145LR"
"N538AS","Boeing","B737-890ALLPAX"
"N926FD","Boeing","B-757-200"
"N384MA","SAAB","SF-340/A"
"N825MH","Boeing","B767-400"
"N252NN","Embraer","ERJ-175"
"N727FX","Cessna","CE-208B"
"878GA","McDonnell-Douglas","MD-83"
"N603KC","Embraer","EMB-145"
"N435KD","McDonnell-Douglas","MD11CARGO"
"N953NN","Boeing","B737PASSENGER"
"N306UP","Boeing","B767-3"
"N859AS","Canadair","RJ-200"
"N150UW","Airbus","A321-211"
"N762SW","Boeing","B-737-7H4"
"N638","Boeing","B737-3"
"NXLAJ","Boeing","B737-8"
"N487UA","Airbus","AirbusA320-232PAX"
"N9026C","Airbus","A319-115"
"N346WQ","Bombardier","Q400"
"N792CK","Boeing","747-212F"
"N202FR","Airbus","A320-1/2"
"N684WN","Boeing","B-737-3T0"
"N550WN","Boeing","B737-7/L"
"N393SW","Embraer","EMB120"
"N261","Boeing","B737-7/L"
"N107UA","Boeing","B747-422PAX"
"N726FX","Cessna","CE-208B"
"N603AL","McDonnell-Douglas","DC-8/73Cargo"
"N958FE","Cessna","CE-208B"
"N434XJ","Saab","Saab340B"
"N8626B","Boeing","B-737-8H4"
"N306FE","McDonnell-Douglas","DC-10-30"
"N767MW","Boeing","B767-200"
"N149SY","Embraer","ERJ175"
"N643NW","Boeing","B747-4F"
"N496","Boeing","737-700PASSENGERONLY"
"N353XA","CFMInternational","B-737-400PSGR"
"N209PS","GE","RJ-200"
"N929SW","Canadair","RJ-200"
"N8306H","Boeing","B-737-8H4"
"N260AV","Airbus","A320-214"
"N732UW","Airbus","A319-1"
"N106FE","Boeing","767-3S2F"
"N607QX","DeHavilland","RJ-700"
"N441XJ","Saab","Saab340B"
"N311CE","SAAB","SF-340/A"
"N15986","Embraer","ERJ-145LR"
"n841ay","Bombardier","CRJ200"
"N90511","McDonnell-Douglas","SUPER80PASSENGER"
"N798SW","Boeing","B-737-7AD"
"N692","Boeing","B737-3"
"N558UW","Airbus","A321-231"
"N401AW","Canadair","RJ-200"
"N26906","Boeing","B787-800PAX"
"N11565","Embraer","ERJ-145LR"
"N962FE","Cessna","CE-208B"
"N864GA","McDonnell-Douglas","MD-83"
"N7710A","Boeing","B-737-76N"
"N649AW","Airbus","A320-232"
"N503JB","Airbus","A320-232-PSGR"
"N359SW","Boeing","B-737-3H4"
"N216AG","Bombardier","CRJ700-2C10"
"N9335","McDonnell-Douglas","DC-9-30"
"N8323WN","Boeing","737-800PASSENGERONLY"
"N740FX","Cessna","CE-208B"
"N612SW","Boeing","B-737-3H4"
"N968","Boeing","737-700PASSENGERONLY"
"N447XJ","Saab","Saab340B"
"N8690A","Boeing","B-737-8H4"
"N316JB","Embraer","EMB-190"
"N7738","Boeing","737-700PASSENGERONLY"
"N16559","Embraer","ERJ-145LR"
"n8968e","Bombardier","CRJ200"
"N907XJ","Bombardier","RJ-900"
"N803DN","Boeing","737-932ER-PSGR"
"N699AN","Boeing","B757-223PASSENGER"
"N566JB","Airbus","A320-232-PSGR"
"N936FE","Cessna","CE-208B"
"N405YX","Embraer","ERJ-175-200LR"
"N837NN","Boeing","B737-823PASSENGER"
"N27477","Boeing","B737-900ERPAX"
"N746AL","Boeing","B737-7"
"N1222P","GulfStream","GV"
"N618AE","Embraer","ERJ-145"
"N454PA","Boeing","B747-46NF"
"N967FD","Boeing","B-757-200"
"N322FR","GE","A-320-2NEO"
"N8689C","Boeing","B-737-8H4"
"N7734H","Boeing","B-737-7BD"
"N654AW","Airbus","A320-232"
"N509JB","Airbus","A320-232-PSGR"
"N912SW","Canadair","RJ-200"
"N365NB","Airbus","A319-PSGR"
"N807FD","Airbus","A310-300"
"N223AA","McDonnell-Douglas","SUPER80PASSENGER"
"N70524","McDonnell-Douglas","SUPER80PASSENGER"
"N574UA","Boeing","B757-222PAX"
"N411SN","McDonnell-Douglas","MD11CARGO"
"N936","Boeing","737-700PASSENGERONLY"
"N280AK","Boeing","B737-990ERALLPAX"
"N836VA","Airbus","A320-214"
"N129DL","Boeing","B767-3"
"N745FD","Airbus","A300-600"
"N617XJ","Canadair","RJ-200"
"N973FE","Cessna","CE-208B"
"N453UP","Boeing","B757-2"
"N874GA","McDonnell-Douglas","MD-83"
"N321NV","Airbus","A319"
"N775SA","Boeing","B-777-F"
"N17105","Boeing","B757-200PAX"
"N660UA","Boeing","B767-322ERPAX"
"N517AT","Boeing","B757-2"
"N37263","Boeing","B737-800PAX"
"N912DN","McDonnell-Douglas","MD-90-PSGR"
"N231FL","Boeing","B727-2"
"N806UP","McDonnell-Douglas","DC-8-73F"
"N704SA","Boeing","B747-2/3"
"N573RP","Embraer","Embraer-145"
"N940FE","Cessna","CE-208B"
"N410YX","Embraer","ERJ-175-200LR"
"N843VA","Airbus","A320-214"
"N279FE","Boeing","B727-2"
"N7517A","McDonnell-Douglas","SUPER80PASSENGER"
"N12921","Embraer","ERJ-145LR"
"N623JB","Airbus","A320-232-PSGR"
"N462AW","Canadair","RJ-200"
"N328UA","Boeing","B737-300PAX"
"N17627","Boeing","B737-500PAX"
"N775AN","Boeing","B777-200PASSENGER"
"N660AE","Embraer","EMB-145"
"N516GH","GulfStream","V/G-V"
"N916FJ","Bombardier","RJ-900"
"N371UA","Boeing","B737-3"
"N811FL","Canadair","CL-600-2B19"
"N230","Boeing","737-700PASSENGERONLY"
"N709CA","Canadair","RJ100/ER"
"N581UA","Boeing","B757-222PAX"
"N417QX","DeHavilland","DHC8-400"
"N287AY","Airbus","A330-243"
"N13716","Boeing","B737-700PAX"
"N979AS","McDonnell-Douglas","MD-80"
"N88330","Embraer","EMB-175-PSGR"
"N328AA","Boeing","B767-223ERPASSENGER"
"N781","Boeing","B737-7/L"
"N175GJ","Canadair","RJ-700"
"N66808","Boeing","B737-900ERPAX"
"N523NK","Airbus","A319PAX"
"N374CA","Canadair","RJ-700"
"N238JB","Embraer","EMB-190"
"N944SW","Canadair","RJ-200"
"N850GT","Boeing","B747-800"
"N75426","Boeing","B737-900ERPAX"
"N62884","Boeing","B737-900ERPAX"
"N470","Boeing","737-700PASSENGERONLY"
"N333WN","Boeing","737-300PASSENGERONLY"
"N184CJ","Saab","Saab340B"
"N919NN","Boeing","B737-823PASSENGER"
"N815SK","Bombardier","RJ-900"
"N714CB","Boeing","B-737-7H4"
"N588JB","Airbus","A320-232-PSGR"
"N423","Boeing","737-700PASSENGERONLY"
"N294JB","Embraer","EMB-190"
"N14120","Boeing","B757-200PAX"
"N985JT","Airbus","A321-231"
"N8915E","McDonnell-Douglas","DC9-10-PSGR"
"N783TW","McDonnell-Douglas","DC-9-15F"
"N672AE","Embraer","ERJ-145LR"
"N529AS","Boeing","B737-890ALLPAX"
"N923AT","Boeing","Boeing717-200"
"N378L","GulfStream","V/G-V"
"N821AE","Embraer","ERJ-140"
"N246NN","Embraer","ERJ-175"
"401NV","McDonnell-Douglas","MD-88"
"N949CA","Canadair","RJ100/ER"
"N853VA","Airbus","A320-214"
"N908AR","Boeing","B-747-412F"
"N803MD","Embraer","ERJ170-100SU"
"N700","Boeing","B737-7/L"
"N566UW","Airbus","A321-231"
"N936UP","Boeing","B727-100"
"N406LC","Lockheed","L-382G"
"N838AW","Airbus","A319-132"
"N274JB","Embraer","EMB-190"
"N746DH","Boeing","B727-2"
"N122NN","Airbus","A321-231PASSENGER"
"N618NK","Airbus","A-320-PSGR"
"N454WN","Boeing","B737-7/L"
"N967SW","Canadair","RJ-200"
"N322UP","Boeing","B767-3"
"N868GA","McDonnell-Douglas","MD-83"
"N7736","Boeing","737-700PASSENGERONLY"
"N654SW","Boeing","B-737-3H4"
"N509UA","Boeing","B757-222PAX"
"N913","Boeing","737-700PASSENGERONLY"
"N365VA","Airbus","A320"
"N807JB","Airbus","A320-232-PSGR"
"N223NN","Embraer","ERJ-175"
"N705AS","Boeing","B737-490ALLPAX"
"N575JD","Cessna","CE-208B"
"N411XJ","SAAB","SF-340/A"
"N936DL","McDonnell-Douglas","MD-88-PSGR"
"N280UP","McDonnell-Douglas","MD-11F"
"N837DN","Boeing","737-932ER-PSGR"
"N1308T","McDonnell-Douglas","DC-9-30"
"N745VJ","Airbus","A319-112"
"N61887","Boeing","B737-900ERPAX"
"N973UY","Airbus","A321-231"
"N45440","Boeing","B737-900ERPAX"
"N87512","Boeing","B737-800PAX"
"N322AC","ATR","ATR-72Passenger"
"N77687","Boeing","B757-300PAX"
"N17128","Boeing","B757-200PAX"
"N661AV","McDonnell-Douglas","DC-8-6F"
"N517PA","BAE","JETSTM31"
"N37281","Boeing","B737-800PAX"
"N912FR","Airbus","A319-1"
"N231WN","Boeing","B737-7/L"
"N807AW","Airbus","A319-132"
"N704WN","Boeing","737-700PASSENGERONLY"
"N574AA","McDonnell-Douglas","SUPER80PASSENGER"
"N940UW","Boeing","B757-2B7"
"N411AA","McDonnell-Douglas","SUPER80PASSENGER"
"N844AS","Canadair","RJ-200"
"N279WA","McDonnell-Douglas","MD11CARGO"
"N751AT","Boeing","B757-2"
"N12957","Embraer","ERJ-145LR"
"N623US","Boeing","B747-1"
"N462WN","Boeing","B737-7/L"
"N329AE","SAAB","Saab340"
"N176AT","Boeing","Boeing737-700/LR"
"N660DL","Boeing","B757-2"
"N516UA","Boeing","B757-222PAX"
"N916NN","Boeing","B737-823PASSENGER"
"N37228","Canadair","RJ-200"
"N811NW","Airbus","A330-PSGR"
"N230WN","Boeing","B737-7/L"
"N709FX","Cessna","CE-208B"
"N582CA","Bombardier","RJ-900"
"N417WN","Boeing","B737-7/L"
"N287WN","Boeing","B-737-7H4"
"N137AA","Airbus","A321-231"
"N979EV","Bombardier","CRJ200-2B19"
"N88346","Embraer","EMB-175-PSGR"
"N7813","Boeing","737-700PASSENGERONLY"
"N176","Boeing","737-700PASSENGERONLY"
"N66837","Boeing","B737-900ERPAX"
"N523UW","Airbus","A321-231"
"N374NB","Airbus","A319"
"N239CJ","Saab","Saab340B"
"N945","Boeing","737-700PASSENGERONLY"
"N8511K","Boeing","B-737-8H4"
"N75432","Boeing","B737-900ERPAX"
"N62896","Boeing","B737-900ERPAX"
"N470UP","Boeing","B757-2"
"N334DN","Airbus","A321-211-PSGR"
"N184US","Airbus","A321-211"
"N919UP","Boeing","B727-100"
"N816AL","Boeing","B737-1/2"
"N714US","Airbus","A319-112"
"N588UA","Boeing","B757-222PAX"
"N423FE","Airbus","A310-2CF"
"N294WN","Boeing","B-737-7H4"
"N14153","Embraer","ERJ-145XR"
"N986AT","Boeing","Boeing717-200"
"N891NN","Boeing","B737-823PASSENGER"
"N7841A","Boeing","B-737-7L9"
"N672EH","Embraer","EMB-145"
"N529NK","Airbus","A319PAX"
"N923FE","Cessna","CE-208B"
"N378WN","Boeing","737-300PASSENGERONLY"
"N821AY","Canadair","RJ-200"
"N247","Boeing","737-700PASSENGERONLY"
"N721CA","Canadair","RJ100/ER"
"406NV","McDonnell-Douglas","MD-83"
"N949JT","Airbus","A321-231"
"N8543F","Canadair","RJ-200"
"N758WN","Boeing","737-700PASSENGERONLY"
"N632VA","Airbus","A320-214"
"N993AT","Boeing","Boeing717-200"
"N479AS","Boeing","B737-990ERALLPAX"
"N897FD","Boeing","777-FS2"
"N340UP","Boeing","767-34AF"
"N7878A","Boeing","B-737-7K9"
"N193US","McDonnell-Douglas","DC-9-15F"
"N679DA","Boeing","B757-2"
"N53DF","Challenger","Challenger604"
"N386AA","Boeing","B767-323ERPASSENGER"
"N923","Boeing","737-700PASSENGERONLY"
"N253NV","Airbus","A320"
"N820SA","Boeing","747-200F"
"N720EV","Canadair","RJ-700"
"N596AS","Boeing","B737-890ALLPAX"
"N954FD","Boeing","B-757-200"
"N429MC","Boeing","B747-400BCF"
"N8601WN","Boeing","737-800PASSENGERONLY"
"N302","Boeing","B737-3"
"N763FE","Cessna","CE-208B"
"N145SY","Embraer","ERJ175"
"N638US","Boeing","B747-1"
"N489AA","McDonnell-Douglas","SUPER80PASSENGER"
"N992AU","Airbus","A321-231"
"N348JB","Embraer","E190-100-PSGR"
"N896UA","Airbus","AirbusA319-131"
"N203CJ","Saab","Saab340B"
"N786TW","McDonnell-Douglas","MD83"
"N678FE","Airbus","A300-600"
"N538PA","BAE","JETSTM31"
"N926JS","Boeing","B757-2"
"N385AM","Boeing","B767-323ERPASSENGER"
"N825UA","Airbus","AirbusA319-131PAX"
"N252WN","Boeing","B737-7/L"
"N727US","Boeing","B-727-223"
"884GA","McDonnell-Douglas","MD-83"
"N603SW","Boeing","B-737-3H4"
"N435US","Boeing","B737-4B7"
"N953XJ","Bombardier","RJ-900"
"N307AT","Boeing","Boeing737-700/LR"
"N859MJ","Embraer","EMB-145"
"N151FL","Convair","CV580-CARGO"
"N76354","Boeing","B737-3"
"N638AE","Embraer","ERJ-145"
"P2-LAD","Lockheed","L-382G"
"N488CA","Canadair","CRJ-2/4"
"N902AR","Boeing","B-747-428F"
"N347NB","Airbus","A319-PSGR"
"N792UA","Boeing","B777-222BPAX"
"N202SR","Saab","Saab340B"
"N685CA","Boeing","B727-2"
"N551NW","Boeing","B757-2"
"N39423","Boeing","B737-900ERPAX"
"N261AV","Airbus","A320-1/2"
"N108HQ","Embraer","ERJ-175-200LR"
"N727","Boeing","B737-7/L"
"N603CZ","Embraer","EMB175"
"N958SW","Canadair","RJ-200"
"N435AS","Boeing","B737-990ERALLPAX"
"N8629","Boeing","737-800PASSENGERONLY"
"N306PB","Boeing","B737-823"
"N767TW","Boeing","B737-2C"
"N150FE","Boeing","767-300F"
"N644","Boeing","B737-3"
"N496MC","Boeing","B747-400"
"N354CA","Canadair","RJ-700"
"N20FE","LearJet","LearJet60"
"N92EA","Bombardier","CL600-2B19PSGR"
"N8308","Boeing","737-800PASSENGERONLY"
"N260SK","Embraer","Embraer-145"
"N733AR","Boeing","B777-300"
"N107FE","Boeing","767-3S2F"
"N607XJ","Canadair","RJ-200"
"N442AS","Boeing","B737-990ERALLPAX"
"N311FR","AerCap","A-320-2NEO"
"N1602","Boeing","B767-3"
"N644SW","Boeing","B-737-3H4"
"N498AA","McDonnell-Douglas","SUPER80PASSENGER"
