tail_number,manufacturer,model
"N769AX","Boeing","B767-232SF"
"N645NK","Airbus","A-320-PSGR"
"n8771a","Bombardier","CRJ200"
"N499MC","Boeing","B747-400"
"N906AT","Boeing","Boeing717-200"
"N355SW","Boeing","B-737-3H4"
"N801DH","McDonnell-Douglas","DC8-73(M)"
"N211SY","Embraer","ERJ175"
"N69603","Boeing","B737-5"
"N562SW","Embraer","EMB120-ER"
"N403CA","Canadair","RJ100/ER"
"N930NN","Boeing","B737-823PASSENGER"
"N27191","Canadair","RJ-200"
"N8310WN","Boeing","737-800PASSENGERONLY"
"N11FE","Fokker","Fokker"
"N735SA","Boeing","B-737-7H4"
"N609AS","Boeing","B737-790ALLPAX"
"N964NN","Boeing","B737-823"
"N443XJ","Saab","Saab340B"
"N8667D","Boeing","B-737-8H4"
"N313AA","Boeing","B767-2"
"N7723E","Boeing","B-737-76N"
"N16178","Embraer","ERJ-145XR"
"N651ML","Canadair","RJ-200"
"N505WN","Boeing","737-500PASSENGERONLY"
"N362CM","Boeing","B767-300SF"
"N905UA","Boeing","B737-5"
"N219AA","McDonnell-Douglas","SUPER80PASSENGER"
"N800FE","Cessna","CE-208B"
"N694WN","Boeing","737-300PASSENGERONLY"
"N561UW","Airbus","A321-231"
"N934AN","Boeing","B737-823PASSENGER"
"N402WN","Boeing","B737-7/L"
"N833DN","Boeing","737-932ER-PSGR"
"N270WA","McDonnell-Douglas","MD11PSGR"
"N742PA","Boeing","B757-2"
"N118UW","Airbus","A320-1/2"
"N615AE","Embraer","ERJ-145"
"N450PA","Boeing","B747-46NF"
"N318NB","Airbus","A319-PSGR"
"N167HQ","Embraer","ERJ-190-100IGW"
"n931xj","Bombardier","CRJ900"
"N909FX","ATR","ATR42-300"
"N361UP","Boeing","767-34AF"
"N804UA","Airbus","AirbusA319-131PAX"
"N218FR","Airbus","A-320-214"
"N702BR","Canadair","CRJ200-2B19"
"N569NN","GE","CRJ900"
"N408CA","Canadair","RJ100/ER"
"N27722","Boeing","B737-700Pax"
"N12563","Embraer","ERJ-145LR"
"N96EA","Bombardier","CL600-2B19PSGR"
"N870AS","Canadair","RJ-200"
"N7743B","Boeing","B-737-7BD"
"N657AE","Embraer","ERJ-145"
"N512MC","Boeing","B747-2/3"
"N368PH","DeHavilland","DHC8-200"
"N226CY","Boeing","B767-300SF"
"N937XJ","Bombardier","RJ-900"
"N840AS","Canadair","RJ-200"
"N748","Boeing","B737-7/L"
"N620AE","Embraer","ERJ-145"
"N456ZW","Canadair","RJ-200"
"N324FR","Calc","A-320-2NEO"
"N173","Boeing","737-700PASSENGERONLY"
"N914BA","Bombardier","BD-700-1A10PSGR"
"N808SY","Boeing","B737-800"
"N706FR","Airbus","A-321"
"N577UA","Boeing","B757-222PAX"
"N942JB","Airbus","A321-231"
"N413SW","Canadair","RJ-200"
"N8475B","Canadair","RJ-200"
"N283AA","McDonnell-Douglas","SUPER80PASSENGER"
"N131NN","Airbus","A321-231"
"N975FD","Boeing","B-757-200"
"N877FE","Cessna","CE-208B"
"N77865","Boeing","B757-300PAX"
"N663","Boeing","B737-3"
"N519UW","Airbus","A321-231"
"N918","Boeing","B737-7/L"
"N3734B","Boeing","B737-8"
"N813HK","Embraer","EMB-145"
"N234","Boeing","737-700PASSENGERONLY"
"N711TB","Embraer","EMB-135"
"N584SW","Embraer","EMB120-ER"
"N41CX","McDonnell-Douglas","DC-8-62"
"N941WP","AEROSPATIALE","ATR-72-212"
"N846AE","Embraer","ERJ-140"
"N7528A","McDonnell-Douglas","SUPER80PASSENGER"
"N624XA","CFMInternational","B-737-800PSGR"
"N981JT","Airbus","A321-231"
"N465AA","McDonnell-Douglas","SUPER80PASSENGER"
"N929UW","Boeing","B757-2"
"N39367","Boeing","B767-323ERPASSENGER"
"N8307","Boeing","737-800PASSENGERONLY"
"N260MC","Dornier","DO-228-PSGR"
"N732WN","Boeing","737-700PASSENGERONLY"
"N106NN","Airbus","A321-231PASSENGER"
"N607SW","Boeing","B-737-3H4"
"N958AS","McDonnell-Douglas","MD-80"
"N8623A","Canadair","RJ-200"
"N767AN","Boeing","B777-200PASSENGER"
"N643AE","Embraer","ERJ-145"
"n8533d","Bombardier","CRJ200"
"N495DN","McDonnell-Douglas","MD-82-PSGR"
"N905AC","Cessna","Cessna510/560XL"
"N353NW","Airbus","A320-PSGR"
"N798UP","McDonnell-Douglas","DC-8-71"
"N208WQ","DeHavilland","Q400"
"N692AE","Embraer","ERJ-145"
"N559","Boeing","737-700PASSENGERONLY"
"N401FE","Airbus","A310-2CF"
"N929FE","Cessna","CE-208B"
"N26910","Boeing","B787-800PAX"
"N8303","Boeing","737-800PASSENGERONLY"
"N115FE","Boeing","767-3S2F"
"N732DH","Embraer","ERJ-135"
"N607CZ","Embraer","EMB175"
"N962N","McDonnell-Douglas","DC-9-30"
"N441AX","Boeing","BoeingB767-36NERPAX"
"N864RW","Embraer","ERJ-170-100SE"
"N310WN","Boeing","737-300PASSENGERONLY"
"N7711N","Boeing","B-737-76N"
"N15941","Embraer","ERJ-145ER"
"N649GT","Boeing","B767-300ER"
"N503MJ","Canadair","RJ-700"
"N388HA","Airbus","a330-200"
"N255WN","Boeing","B737-7/L"
"M837MH","Boeing","767-400ER-PSGR"
"N955MB","GulfStream","GIV"
"N860DN","Boeing","737-932ER-PSGR"
"N303UA","Boeing","B737-3"
"N765","Boeing","B737-7/L"
"N146UP","Airbus","A300F4-622R"
"N640JB","Airbus","A320-232-PSGR"
"N491FE","Boeing","B727-2"
"N350NB","Airbus","A319"
"N204WQ","DeHavilland","Q400"
"N927LR","Bombardier","RJ-900"
"N827HK","Embraer","EMB-145"
"N729SW","Boeing","B-737-7H4"
"N605","Boeing","B737-3"
"N437XJ","Saab","Saab340B"
"N308EV","McDonnell-Douglas","MD-90-PSGR"
"N154DL","Boeing","B767-3"
"n153pq","Bombardier","CRJ900"
"N903AE","SAAB","Saab340"
"N794FE","Cessna","CE-208B"
"N68802","Boeing","B737-900ERPAX"
"N553UW","Airbus","A321-231"
"N396AN","Boeing","B767-323ERPASSENGER"
"N263AK","Boeing","B737-990ERALLPAX"
"N11113","Embraer","ERJ-145XR"
"N960AS","McDonnell-Douglas","MD-80"
"N86334","Embraer","EMB-175-PSGR"
"N769CA","Canadair","RJ100/ER"
"N645NW","Boeing","B747-4F"
"n8775a","Bombardier","CRJ200"
"N499SA","Boeing","B-737-400"
"N906AW","Boeing","B757-2S7"
"N355UP","Boeing","767-34AF"
"N801DM","Boeing","B757-2"
"N211UA","Boeing","B777-222PAX"
"N930RD","Boeing","B757-2"
"N8311","Boeing","737-800PASSENGERONLY"
"N735TS","Embraer","ERJ-135"
"N609AU","Boeing","B757-2"
"N964SW","Canadair","RJ-200"
"N443YX","Embraer","ERJ-170-200LR"
"N8668A","Boeing","B-737-8H4"
"N313AE","SAAB","Saab340"
"N7724","Boeing","737-700PASSENGERONLY"
"N16183","Embraer","ERJ-145XR"
"N651NK","Airbus","A-320-PSGR"
"N506","Boeing","B737-5"
"n8718e","Bombardier","CRJ200"
"N362DH","Airbus","A300X4"
"N905UP","Boeing","B727-100"
"N800FX","ATR","ATR72"
"N695","Boeing","B737-3"
"N561WN","Boeing","B-737-73V"
"N934AS","McDonnell-Douglas","MD-80"
"N402XJ","SAAB","Saab340B"
"N833FE","Cessna","CE-208B"
"N270WN","Boeing","B737-7/L"
"N742PS","Airbus","A319-112"
"N119HQ","Embraer","ERJ-175-200LR"
"N615AM","Boeing","B757-200PASSENGER"
"N450QX","DeHavilland","DHC8-400"
"N964CA","Canadair","RJ100/ER"
"N318NV","Airbus","A319"
"N865RW","Embraer","ERJ-170-100SE"
"N167SY","Embraer","ERJ175"
"N771WN","Boeing","737-700PASSENGERONLY"
"N651","Boeing","B737-3"
"n932xj","Bombardier","CRJ900"
"N505LX","DeHavilland","DHC8-400"
"N909JM","Dassault","DASSAULT-FALCON-50EX"
"N361VA","Airbus","A320-214"
"N804UP","McDonnell-Douglas","DC-8-73F"
"N218NN","Embraer","EMB175"
"N702CK","Boeing","B747-1"
"N569RP","Embraer","Embraer-145"
"N408FE","Airbus","A310-2CF"
"N9341","McDonnell-Douglas","DC9-30-PSGR"
"N27724","Boeing","B737-700PAX"
"N832NN","Boeing","B737-823PASSENGER"
"N12564","Embraer","ERJ-145LR"
"N742AS","Boeing","B737-2C"
"N614NK","Airbus","A320PAX"
"N96SP","Sikorsky","SK-76-CPSGR"
"N44ZF","GulfStream","GIV"
"N870DN","Boeing","737-900ER-PSGR"
"N317WN","Boeing","B-737-3Q8"
"N7744","Boeing","737-700PASSENGERONLY"
"N16701","Boeing","B737-700PAX"
"N657AM","Boeing","B757-223PASSENGER"
"N512MJ","Canadair","RJ-700"
"N368SW","Boeing","B-737-3H4"
"N226JS","GE","CRJ200"
"N804MD","Embraer","ERJ170-100SU"
"N701ME","McDonnell-Douglas","MD-80"
"N568UW","Airbus","A321-231"
"N938","Boeing","737-700PASSENGERONLY"
"N407WN","Boeing","B-737-7H4"
"N840AW","Airbus","A319-132"
"N276EA","CFMInternational","B-737-800-PSGR"
"N74856","Boeing","B757-300PAX"
"N124UP","Airbus","A300F4-622R"
"N620AU","Boeing","B757-2"
"N457","Boeing","737-700PASSENGERONLY"
"N324JB","Embraer","E190-100-PSGR"
"N17321","Boeing","B737-3"
"N914CA","Canadair","RJ100/ER"
"N368","Boeing","B737-3"
"N808T","GulfStream","IVSP"
"N225NN","Embraer","ERJ-175"
"N706FX","Cessna","CE-208B"
"N577UP","Boeing","B-747-4"
"N413UA","Airbus","AirbusA320-232PAX"
"N283AK","Boeing","B737-990ERALLPAX"
"N131SY","Embraer","ERJ175"
"N975FE","Cessna","CE-208B"
"N877GA","McDonnell-Douglas","MD-83"
"N77867","Boeing","B757-300PAX"
"N663AM","Boeing","B757-223PASSENGER"
"N519WN","Boeing","737-500PASSENGERONLY"
"N3735D","Boeing","B737-8"
"N2340U","Cessna","CessnaT-210N"
"N942","Boeing","737-700PASSENGERONLY"
"N846AS","Canadair","RJ-200"
"N752AN","Boeing","B777-200PASSENGER"
"N625","Boeing","B737-3"
"N465AT","Boeing","B737-1/2"
"N330UA","Boeing","B737-300PAX"
"N178UA","Boeing","B747-422PAX"
"N917RW","McDonnell-Douglas","DC-9-30"
"N812UP","McDonnell-Douglas","DC-8-73F"
"N710UW","Airbus","A319-112"
"N584AS","Boeing","B737-890ALLPAX"
"N946WN","Boeing","B-737-7H4"
"N419MC","Boeing","B747-400"
"N852AE","Embraer","ERJ-140"
"N28CA","McDonnell-Douglas","DC-6BCARGO"
"N13954","Boeing","B787-900PAX"
"N981AN","Boeing","B737-823PASSENGER"
"N8869B","Canadair","RJ-200"
"N782","Boeing","B737-7/L"
"N669UA","Boeing","B767-322DRPAX"
"N525SW","Boeing","B-737-5H4"
"N921AS","Canadair","RJ-200"
"N375NB","Airbus","A319"
"N818CA","Canadair","RJ100/ER"
"N241PS","GE","RJ-200"
"N717AE","Embraer","ERJ-135"
"N591US","Boeing","B737-3"
"N425XJ","SAAB","SF-340/A"
"N946FD","Boeing","B-757-200"
"N8523W","Boeing","B-737-8H4"
"N755","Boeing","B737-7/L"
"N629DL","Boeing","B757-2"
"N988FD","Boeing","B-757-200"
"N473CA","Canadair","CRJ-2/4"
"N89349","Embraer","EMB-175-PSGR"
"N33637","Boeing","B737-5"
"N78511","Boeing","B737-800PAX"
"N187JB","Embraer","EMB-190"
"N675AE","Embraer","ERJ-145LR"
"N533AU","Boeing","B737-3B7"
"N381WA","McDonnell-Douglas","MD11CARGO"
"N920SW","Canadair","RJ-200"
"N249NN","Embraer","ERJ-175"
"N817NN","Boeing","B737-823PASSENGER"
"769AX","Boeing","B767-232SF"
"N716FX","Cessna","CE-208B"
"N590US","Boeing","B737-3"
"N951FD","Boeing","B-757-200"
"N425FE","Airbus","A310-2CF"
"N855MJ","Embraer","EMB-145"
"N297FE","Boeing","767-32LF"
"N760JB","Airbus","A320-232-PSGR"
"N14219","Boeing","B737-800PAX"
"N634VA","Airbus","A320-214"
"N483AA","McDonnell-Douglas","SUPER80PASSENGER"
"N987US","McDonnell-Douglas","DC9-30-PSGR"
"N343CJ","Saab","Saab340B"
"N89313","Embraer","EMB-175-PSGR"
