year,quarter,month,dayofmonth,dayofweek,flightdate,reporting_airline,dot_id_reporting_airline,iata_code_reporting_airline,tail_number,flight_number_reporting_airline,originairportid,originairportseqid,origincitymarketid,origin,origincityname,originstate,originstatefips,originstatename,originwac,destairportid,destairportseqid,destcitymarketid,dest,destcityname,deststate,deststatefips,deststatename,destwac,crsdeptime,deptime,depdelay,depdelayminutes,depdel15,departuredelaygroups,deptimeblk,taxiout,wheelsoff,wheelson,taxiin,crsarrtime,arrtime,arrdelay,arrdelayminutes,arrdel15,arrivaldelaygroups,arrtimeblk,cancelled,cancellationcode,diverted,crselapsedtime,actualelapsedtime,airtime,flights,distance,distancegroup,carrierdelay,weatherdelay,nasdelay,securitydelay,lateaircraftdelay,firstdeptime,totaladdgtime,longestaddgtime,divairportlandings,divreacheddest,divactualelapsedtime,divarrdelay,divdistance,divairport
2013,1,1,21,1,2013-01-21,DL,19790,DL,N347NW,907,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,1707,1700,-7,0,0,-1,1700-1759,25,1725,1823,2,1839,1825,-14,0,0,-1,1800-1859,0,0,0,92,85,58,1,334,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,9,3,2013-01-09,UA,19977,UA,N576UA,699,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1120,1118,-2,0,0,-1,1100-1159,15,1133,1416,10,1442,1426,-16,0,0,-2,1400-1459,0,0,0,142,128,103,1,888,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,27,7,2013-01-27,OO,20304,OO,N916SW,5330,11471,1147103,31471,EAU,"Eau Claire, WI",WI,55,Wisconsin,45,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,600,600,0,0,0,0,0600-0659,14,614,700,6,721,706,-15,0,0,-1,0700-0759,0,0,0,81,66,46,1,268,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,21,1,2013-01-21,AA,19805,AA,N3CRAA,301,12953,1295302,31703,LGA,"New York, NY",NY,36,New York,22,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,600,552,-8,0,0,-1,0600-0659,10,602,709,12,745,721,-24,0,0,-2,0700-0759,0,0,0,165,149,127,1,733,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,17,4,2013-01-17,UA,19977,UA,N480UA,547,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,944,1032,48,48,1,3,0900-0959,12,1044,1210,5,1146,1215,29,29,1,1,1100-1159,0,0,0,242,223,206,1,1514,7,0,0,29,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,22,2,2013-01-22,OO,20304,OO,N756SK,6228,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,13485,1348502,33485,MSN,"Madison, WI",WI,55,Wisconsin,45,716,714,-2,0,0,-1,0700-0759,24,738,803,3,805,806,1,1,0,0,0800-0859,0,0,0,49,52,25,1,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,26,6,2013-01-26,UA,19977,UA,N415UA,758,14908,1490803,32575,SNA,"Santa Ana, CA",CA,6,California,91,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,645,634,-11,0,0,-1,0600-0659,26,700,1219,4,1250,1223,-27,0,0,-2,1200-1259,0,0,0,245,229,199,1,1726,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,22,2,2013-01-22,OO,20304,OO,N756SK,6227,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1600,1710,70,70,1,4,1600-1659,20,1730,2100,11,2005,2111,66,66,1,4,2000-2059,0,0,0,185,181,150,1,1250,6,0,0,0,0,66,0,0,0,0,0,0,0,0,0
2013,1,1,29,2,2013-01-29,EV,20366,EV,N398CA,5109,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,1830,2100,150,150,1,10,1800-1859,23,2123,2310,8,2057,2318,141,141,1,9,2000-2059,0,0,0,87,78,47,1,235,1,0,0,0,0,141,0,0,0,0,0,0,0,0,0
2013,1,1,25,5,2013-01-25,WN,19393,WN,N426WN,178,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,13232,1323202,30977,MDW,"Chicago, IL",IL,17,Illinois,41,1535,1613,38,38,1,2,1500-1559,12,1625,1912,5,1905,1917,12,12,0,0,1900-1959,0,0,0,150,124,107,1,895,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
