,flightdate,dayofweek,weather
5577,2013-01-02,3,Sunny
5578,2013-01-02,3,Clear
5579,2013-01-02,3,Sunny
5580,2013-01-02,3,Sunny
5581,2013-01-22,2,Partly cloudy
5582,2013-01-04,5,Sunny
5583,2013-01-04,5,Partly cloudy
5584,2013-01-04,5,Sunny
5585,2013-01-04,5,Sunny
5586,2013-01-04,5,Sunny
5587,2013-01-04,5,Sunny
5588,2013-01-04,5,Sunny
5589,2013-01-04,5,Clear
5590,2013-01-03,4,Overcast
5591,2013-01-14,1,Sunny
5592,2013-01-11,5,Patchy rain possible
5593,2013-01-07,1,Sunny
5594,2013-01-02,3,Sunny
5595,2013-01-26,6,Sunny
5596,2013-01-27,7,Partly cloudy
5597,2013-01-28,1,Cloudy
5598,2013-01-29,2,Patchy rain possible
5599,2013-01-30,3,Moderate or heavy rain shower
5600,2013-01-08,2,Sunny
5601,2013-01-09,3,Sunny
5602,2013-01-10,4,Partly cloudy
5603,2013-01-11,5,Cloudy
5604,2013-01-12,6,Partly cloudy
5605,2013-01-03,4,Cloudy
5606,2013-01-05,6,Patchy rain possible
5607,2013-01-06,7,Partly cloudy
5608,2013-01-07,1,Sunny
5609,2013-01-31,4,Overcast
5610,2013-01-13,7,Overcast
5611,2013-01-14,1,Sunny
5612,2013-01-15,2,Partly cloudy
5613,2013-01-16,3,Sunny
5614,2013-01-17,4,Sunny
5615,2013-01-18,5,Partly cloudy
5616,2013-01-08,2,Sunny
5617,2013-01-09,3,Sunny
5618,2013-01-10,4,Cloudy
5619,2013-01-11,5,Cloudy
5620,2013-01-12,6,Partly cloudy
5621,2013-01-13,7,Partly cloudy
5622,2013-01-04,5,Sunny
5623,2013-01-07,1,Sunny
5624,2013-01-08,2,Sunny
5625,2013-01-09,3,Sunny
5626,2013-01-10,4,Sunny
5627,2013-01-18,5,Partly cloudy
5628,2013-01-19,6,Cloudy
5629,2013-01-20,7,Partly cloudy
5630,2013-01-21,1,Overcast
5631,2013-01-24,4,Overcast
5632,2013-01-25,5,Light freezing rain
5633,2013-01-11,5,Patchy rain possible
5634,2013-01-14,1,Sunny
5635,2013-01-15,2,Sunny
5636,2013-01-16,3,Sunny
5637,2013-01-17,4,Sunny
5638,2013-01-18,5,Partly cloudy
5639,2013-01-15,2,Sunny
5640,2013-01-16,3,Sunny
5641,2013-01-01,2,Sunny
5642,2013-01-02,3,Sunny
5643,2013-01-26,6,Sunny
5644,2013-01-27,7,Partly cloudy
5645,2013-01-28,1,Patchy rain possible
5646,2013-01-31,4,Overcast
5647,2013-01-21,1,Overcast
5648,2013-01-22,2,Partly cloudy
5649,2013-01-23,3,Cloudy
5650,2013-01-24,4,Overcast
5651,2013-01-25,5,Light freezing rain
5652,2013-01-28,1,Patchy rain possible
5653,2013-01-15,2,Partly cloudy
5654,2013-01-16,3,Sunny
5655,2013-01-17,4,Sunny
