id,Durations,Distance,Latitude,Longitude,cluster,location_demand,wealth_index,availability,cost_efficiency,wait_time
36314,6.0215000000000005,1.9944300000000001,41.97907082,-87.90303966,0,6.48683440608543,11.164797074166797,False,0.8966310634597423,8.192989447419057
36323,35.966833333333334,28.87179,41.88530002,-87.64280847,5,6.48683440608543,11.164797074166795,False,0.580630450243125,8.03010409220747
36327,6.0215000000000005,1.9944300000000001,41.97907082,-87.90303966,0,6.48683440608543,11.164797074166797,False,0.8679111006618117,6.387994446830287
36333,29.103666666666665,24.12953,41.92187746,-87.66407824,4,6.48683440608543,11.164797074166795,True,0.7466024304103185,7.938914194351748
36339,31.39816666666667,24.98866,41.9442266,-87.65599818,4,6.48683440608543,11.164797074166797,False,0.5645948204540092,7.334644142753275
36344,31.39816666666667,24.98866,41.9442266,-87.65599818,4,6.48683440608543,11.164797074166795,True,0.804272512954974,8.220593930473498
36350,27.747,20.637970000000003,42.00157103,-87.69501259,3,6.48683440608543,11.164797074166797,True,0.6040227445338056,7.950805865970753
36354,34.876666666666665,28.0182,41.88528132,-87.6572332,5,6.48683440608543,11.164797074166795,False,0.4768307454491911,7.576491510967192
36362,39.03183333333333,30.44236,41.88498719,-87.62099291,5,6.48683440608543,11.164797074166797,True,0.6502300030938021,8.452456069219899
36365,42.541333333333334,33.42157,41.85026637,-87.66756931,5,6.48683440608543,11.164797074166795,True,0.7146916982023842,7.946372427237408
36373,49.150333333333336,48.84167,41.78599852,-87.75093429,5,6.48683440608543,11.164797074166797,False,0.8247389844690105,12.89245780079505
36375,38.560833333333335,31.20391,41.87400538,-87.66351755,5,6.48683440608543,11.164797074166795,True,0.6808105003813758,10.3835035900528
36386,36.195,29.13379,41.89250778,-87.62621491,5,6.48683440608543,11.164797074166797,True,0.7142714879259678,9.791068817163236
36387,38.50683333333333,30.61591,41.89197151,-87.61294541,5,6.48683440608543,11.164797074166795,True,0.7169150994745476,8.623501974894188
36398,35.550333333333334,28.573990000000002,41.89204214,-87.63186395,5,6.48683440608543,11.164797074166797,False,0.623770857243003,10.92523108163386
36408,33.035,26.59955,41.91458571,-87.64596621,4,6.48683440608543,11.164797074166795,True,0.6469074265269669,9.44788959809719
36409,29.894166666666667,24.153669999999998,41.96581197,-87.65587879,4,6.48683440608543,11.164797074166797,True,0.8199264605897939,7.068699734703399
36419,31.98966666666667,25.24657,41.90120699,-87.67635599,4,6.48683440608543,11.164797074166795,True,0.6637424870264643,8.833145947477322
36421,35.37,28.62005,41.89960211,-87.63330804,5,6.48683440608543,11.164797074166797,True,0.6358486076405601,8.645540526908052
